product_id,category_code,brand,price,category_id,count_session
1005174,appliances.kitchen.refrigerators,samsung,643.23,2053013563835941749,483707
16000004,accessories.bag,rondell,43.73,2053013556856619499,312767
1004856,construction.tools.light,samsung,128.42,2232732093077520756,281182
1005100,construction.tools.light,samsung,140.28,2232732093077520756,221321
1005186,appliances.kitchen.refrigerators,samsung,720.46,2053013563835941749,210445
100116550,construction.tools.light,samsung,1415.45,2232732093077520756,203239
1005177,construction.tools.light,samsung,849.16,2232732093077520756,202531
1004767,construction.tools.light,samsung,226.18,2232732093077520756,196259
5301764,,rowenta,692.4,2232732089269092627,175168
1005100,construction.tools.light,samsung,143.89,2232732093077520756,171907
1004838,construction.tools.light,oppo,154.42,2232732093077520756,165805
15100350,apparel.shorts,,334.37,2232732107413652135,153488
1005174,electronics.smartphone,samsung,643.23,2053013555631882655,148673
12703015,,cordiant,42.99,2053013553559896355,148042
26400756,computers.peripherals.printer,,325.36,2053013553056579841,146556
1004767,construction.tools.light,samsung,230.12,2232732093077520756,137581
15100337,apparel.shorts,,282.89,2232732107413652135,135010
3700926,appliances.environment.vacuum,samsung,69.47,2232732101063475749,128209
1005115,electronics.smartphone,apple,914.0,2053013555631882655,127628
1003712,construction.tools.light,samsung,477.49,2232732093077520756,127260
1005115,electronics.smartphone,apple,916.37,2053013555631882655,122571
1004856,construction.tools.light,samsung,129.99,2232732093077520756,114806
1004750,construction.tools.light,samsung,198.2,2232732093077520756,111824
26400194,computers.peripherals.printer,,253.55,2053013553056579841,106889
4100346,apparel.shoes,sony,331.51,2232732098228126185,104048
1005186,electronics.smartphone,samsung,771.94,2053013555631882655,101776
1005100,construction.tools.light,samsung,141.06,2232732093077520756,101495
1004767,construction.tools.light,samsung,241.84,2232732093077520756,99952
1005238,construction.tools.light,oppo,308.86,2232732093077520756,98732
1005160,construction.tools.light,xiaomi,181.99,2232732093077520756,98622
1004767,electronics.smartphone,samsung,243.49,2053013555631882655,95548
1004838,electronics.smartphone,oppo,154.42,2053013555631882655,95187
1002544,construction.tools.light,apple,397.1,2232732093077520756,95069
1004903,construction.tools.light,huawei,76.94,2232732093077520756,93902
5100719,electronics.clocks,samsung,154.16,2232732103101907535,92702
4804056,sport.bicycle,apple,159.07,2232732079706079299,92197
1004777,electronics.smartphone,xiaomi,135.01,2053013555631882655,91932
10200950,appliances.kitchen.grill,simba,45.79,2232732104653800053,91280
12703494,,cordiant,41.19,2053013553559896355,91139
10300499,apparel.scarf,silverlit,9.02,2232732104888681081,90662
1004856,electronics.smartphone,samsung,126.0,2053013555631882655,90518
1004856,electronics.smartphone,samsung,128.42,2053013555631882655,89975
1005115,construction.tools.light,apple,805.39,2232732093077520756,89892
56700004,apparel.shoes,intex,28.06,2053013553887052089,89306
28719262,apparel.underwear,rieker,97.04,2232732116137804674,88146
100116581,construction.tools.light,samsung,1415.45,2232732093077520756,86946
1005115,construction.tools.light,apple,870.04,2232732093077520756,86814
1005115,electronics.smartphone,apple,975.56,2053013555631882655,85210
15100367,apparel.shorts,,499.11,2232732107413652135,85178
12709380,,viatti,38.1,2053013553559896355,85160
1004856,electronics.smartphone,samsung,130.99,2053013555631882655,85016
100119386,construction.tools.light,samsung,1415.45,2232732093077520756,83933
26400756,computers.peripherals.printer,,335.4,2053013553056579841,83862
1005212,construction.tools.light,samsung,168.32,2232732093077520756,83785
1004741,electronics.smartphone,xiaomi,190.22,2053013555631882655,83675
100045333,electronics.smartphone,samsung,282.86,2053013555631882655,82420
15700176,,bts,257.15,2232732094134485388,82211
3600661,appliances.kitchen.washer,samsung,308.86,2232732092297380188,81546
4803977,sport.bicycle,samsung,102.68,2232732079706079299,81469
4804056,electronics.audio.headphone,apple,159.33,2053013554658804075,80460
1004785,construction.tools.light,huawei,231.38,2232732093077520756,79614
1801940,appliances.personal.massager,haier,218.77,2232732099754852875,79473
1005098,construction.tools.light,samsung,143.89,2232732093077520756,78823
1004856,construction.tools.light,samsung,126.12,2232732093077520756,77873
1005003,construction.tools.light,huawei,179.93,2232732093077520756,77438
1005238,electronics.smartphone,oppo,308.63,2053013555631882655,77009
26400293,computers.peripherals.printer,lucente,236.3,2053013553056579841,76982
1004870,construction.tools.light,samsung,269.25,2232732093077520756,76429
26800074,,,704.27,2232732066611463064,76397
1004856,electronics.smartphone,samsung,131.53,2053013555631882655,76154
100154083,,thermomix,1737.5,2232732102539870787,76134
6000094,apparel.shoes,starline,127.42,2232732103546503769,75330
5100718,electronics.clocks,samsung,154.16,2232732103101907535,75253
100023514,electronics.audio.headphone,acer,900.67,2053013554658804075,74830
15100297,apparel.shorts,,275.17,2232732107413652135,73964
5100562,electronics.clocks,apple,295.73,2232732103101907535,73020
1004750,construction.tools.light,samsung,203.35,2232732093077520756,72899
100011148,computers.components.videocards,columbia,73.34,2053013554247762257,72488
1005235,construction.tools.light,oppo,437.31,2232732093077520756,72221
1005284,construction.tools.light,samsung,2548.07,2232732093077520756,72076
12800075,,kingston,765.76,2232732106792895129,71825
1307188,electronics.audio.headphone,hp,233.98,2053013554658804075,71719
100045382,construction.tools.light,samsung,334.35,2232732093077520756,71537
1004836,construction.tools.light,samsung,231.38,2232732093077520756,70501
1004903,construction.tools.light,huawei,76.91,2232732093077520756,70307
1004249,construction.tools.light,apple,694.74,2232732093077520756,70272
38900019,apparel.shoes.moccasins,,100.39,2053013558987326060,70243
17200651,furniture.living_room.sofa,,463.07,2232732090980368698,69899
1004856,electronics.smartphone,samsung,131.64,2053013555631882655,69641
12703498,,cordiant,40.93,2053013553559896355,69332
1005115,electronics.smartphone,apple,1003.85,2053013555631882655,69167
1005182,appliances.kitchen.refrigerators,samsung,977.86,2053013563835941749,68786
1005100,construction.tools.light,samsung,146.31,2232732093077520756,66644
1004741,electronics.smartphone,xiaomi,189.97,2053013555631882655,66283
4700630,accessories.wallet,,30.86,2232732097397653970,65955
1002633,electronics.smartphone,apple,358.57,2053013555631882655,65935
1004226,construction.tools.light,apple,720.48,2232732093077520756,65793
1004767,construction.tools.light,samsung,240.86,2232732093077520756,65342
3601405,appliances.kitchen.washer,beko,180.16,2232732092297380188,65212
100116557,construction.tools.light,samsung,1029.34,2232732093077520756,65174
1004767,construction.tools.light,samsung,240.88,2232732093077520756,64801
26800026,,hygge,687.28,2232732066611463064,64731
15901905,construction.tools.generator,dauscher,11.02,2053013566142809077,64592
1307589,electronics.audio.headphone,acer,231.64,2053013554658804075,63972
1801766,appliances.personal.massager,artel,155.71,2232732099754852875,63819
100060825,apparel.trousers,glo,36.04,2232732135054115162,63637
26300078,appliances.kitchen.coffee_grinder,lucente,340.29,2053013554725912943,63562
1005069,construction.tools.light,vivo,283.12,2232732093077520756,63559
12703015,,cordiant,42.99,2053013553199186187,63516
4803976,sport.bicycle,samsung,102.68,2232732079706079299,63416
100055862,sport.bicycle,wiwu,64.35,2232732079706079299,63395
1004767,construction.tools.light,samsung,241.83,2232732093077520756,63019
1002098,construction.tools.light,samsung,259.96,2232732093077520756,62893
1005105,electronics.smartphone,apple,1415.48,2053013555631882655,62534
4804409,sport.bicycle,elari,66.9,2232732079706079299,62348
1005160,construction.tools.light,xiaomi,167.57,2232732093077520756,61992
6000094,auto.accessories.alarm,starline,121.24,2053013560807654091,61840
4803977,sport.bicycle,samsung,102.65,2232732079706079299,61781
1004741,construction.tools.light,xiaomi,197.89,2232732093077520756,61747
1005205,construction.tools.light,oppo,231.64,2232732093077520756,61373
1005217,construction.tools.light,xiaomi,142.08,2232732093077520756,61110
3701134,appliances.environment.vacuum,bosch,105.51,2232732101063475749,61099
1307187,electronics.audio.headphone,acer,849.42,2053013554658804075,60991
10300499,apparel.scarf,silverlit,7.18,2232732104888681081,60872
22700129,,stels,62.96,2232732091643068746,60751
26400266,computers.peripherals.printer,lucente,115.83,2053013553056579841,60679
1801690,appliances.personal.massager,samsung,385.85,2232732099754852875,60355
26300188,appliances.kitchen.coffee_grinder,lucente,741.85,2053013554725912943,60142
1307545,electronics.audio.headphone,lenovo,231.64,2053013554658804075,60014
